Indicator	PUBLISH STATES	Year	WHO region	World Bank income group	Country	Sex	Display Value	Numeric	Low	High	Comments
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	Germany	Female	24	24.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Germany	Female	25	25.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Germany	Both sexes	20	20.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Denmark	Female	78	78.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	Spain	Male	79	79.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Spain	Female	81	81.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Spain	Female	83	83.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Estonia	Male	65	65.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	Estonia	Both sexes	77	77.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	Estonia	Male	15	15.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Estonia	Both sexes	21	21.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	Finland	Both sexes	81	81.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Finland	Both sexes	20	20.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	France	Female	82	82.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	France	Female	85	85.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	France	Female	25	25.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	France	Female	27	27.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	France	Both sexes	22	22.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	United Kingdom of Great Britain and Northern Ireland	Male	79	79.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	United Kingdom of Great Britain and Northern Ireland	Female	80	80.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	United Kingdom of Great Britain and Northern Ireland	Male	20	20.0			
Life expectancy at birth (years)	Published	2012	Africa	High-income	Equatorial Guinea	Both sexes	55	55.0			
Life expectancy at age 60 (years)	Published	2012	Africa	High-income	Equatorial Guinea	Male	16	16.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Greece	Male	75	75.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Greece	Male	20	20.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Greece	Female	26	26.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	Greece	Both sexes	22	22.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Croatia	Both sexes	73	73.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Croatia	Both sexes	74	74.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	Croatia	Female	21	21.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	Hungary	Male	71	71.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Hungary	Male	17	17.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Hungary	Female	19	19.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	Hungary	Female	21	21.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Ireland	Female	78	78.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	Ireland	Male	19	19.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Iceland	Male	75	75.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Iceland	Male	78	78.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	Iceland	Both sexes	23	23.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	Israel	Female	84	84.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Italy	Female	83	83.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	Italy	Female	85	85.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Italy	Both sexes	77	77.0			
Life expectancy at birth (years)	Published	2000	Western Pacific	High-income	Japan	Female	85	85.0			
Life expectancy at age 60 (years)	Published	1990	Western Pacific	High-income	Japan	Male	20	20.0			
Life expectancy at age 60 (years)	Published	2000	Western Pacific	High-income	Japan	Male	22	22.0			
Life expectancy at age 60 (years)	Published	2012	Western Pacific	High-income	Japan	Both sexes	26	26.0			
Life expectancy at birth (years)	Published	1990	Western Pacific	High-income	Republic of Korea	Male	68	68.0			
Life expectancy at birth (years)	Published	2000	Western Pacific	High-income	Republic of Korea	Both sexes	76	76.0			
Life expectancy at age 60 (years)	Published	1990	Western Pacific	High-income	Republic of Korea	Male	15	15.0			
Life expectancy at birth (years)	Published	1990	Eastern Mediterranean	High-income	Kuwait	Both sexes	73	73.0			
Life expectancy at age 60 (years)	Published	2000	Eastern Mediterranean	High-income	Kuwait	Female	18	18.0			
Life expectancy at age 60 (years)	Published	2000	Eastern Mediterranean	High-income	Kuwait	Both sexes	18	18.0			
Life expectancy at age 60 (years)	Published	2012	Eastern Mediterranean	High-income	Kuwait	Both sexes	21	21.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	Luxembourg	Female	24	24.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Luxembourg	Both sexes	20	20.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	Monaco	Female	27	27.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	Malta	Both sexes	81	81.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Malta	Male	22	22.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	Netherlands	Male	74	74.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Netherlands	Both sexes	78	78.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	Netherlands	Male	18	18.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	Netherlands	Both sexes	22	22.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Netherlands	Both sexes	24	24.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	Norway	Female	24	24.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Norway	Female	25	25.0			
Life expectancy at age 60 (years)	Published	1990	Western Pacific	High-income	Nauru	Female	23	23.0			
Life expectancy at birth (years)	Published	1990	Western Pacific	High-income	New Zealand	Male	73	73.0			
Life expectancy at birth (years)	Published	2000	Western Pacific	High-income	New Zealand	Male	76	76.0			
Life expectancy at birth (years)	Published	1990	Western Pacific	High-income	New Zealand	Female	78	78.0			
Life expectancy at age 60 (years)	Published	2012	Western Pacific	High-income	New Zealand	Both sexes	25	25.0			
Life expectancy at birth (years)	Published	2000	Eastern Mediterranean	High-income	Oman	Both sexes	72	72.0			
Life expectancy at age 60 (years)	Published	1990	Eastern Mediterranean	High-income	Oman	Both sexes	17	17.0			
Life expectancy at age 60 (years)	Published	2000	Eastern Mediterranean	High-income	Oman	Both sexes	18	18.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Portugal	Female	80	80.0			
Life expectancy at birth (years)	Published	2012	Eastern Mediterranean	High-income	Qatar	Male	79	79.0			
Life expectancy at birth (years)	Published	1990	Eastern Mediterranean	High-income	Qatar	Female	76	76.0			
Life expectancy at age 60 (years)	Published	2012	Eastern Mediterranean	High-income	Qatar	Male	22	22.0			
Life expectancy at age 60 (years)	Published	2000	Eastern Mediterranean	High-income	Qatar	Female	20	20.0			
Life expectancy at birth (years)	Published	2000	Eastern Mediterranean	High-income	Saudi Arabia	Male	71	71.0			
Life expectancy at age 60 (years)	Published	2012	Eastern Mediterranean	High-income	Saudi Arabia	Male	18	18.0			
Life expectancy at birth (years)	Published	1990	Western Pacific	High-income	Singapore	Male	73	73.0			
Life expectancy at birth (years)	Published	2012	Western Pacific	High-income	Singapore	Male	80	80.0			
Life expectancy at age 60 (years)	Published	2000	Western Pacific	High-income	Singapore	Male	20	20.0			
Life expectancy at age 60 (years)	Published	2000	Western Pacific	High-income	Singapore	Both sexes	22	22.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	San Marino	Female	84	84.0			
Life expectancy at birth (years)	Published	1990	Europe	High-income	San Marino	Both sexes	79	79.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	San Marino	Both sexes	82	82.0			
Life expectancy at age 60 (years)	Published	1990	Europe	High-income	San Marino	Both sexes	23	23.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	San Marino	Both sexes	24	24.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Slovakia	Female	23	23.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Slovenia	Male	72	72.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	Slovenia	Male	77	77.0			
Life expectancy at birth (years)	Published	2000	Europe	High-income	Slovenia	Female	80	80.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Slovenia	Male	21	21.0			
Life expectancy at age 60 (years)	Published	2000	Europe	High-income	Slovenia	Female	23	23.0			
Life expectancy at birth (years)	Published	2012	Europe	High-income	Sweden	Both sexes	82	82.0			
Life expectancy at age 60 (years)	Published	2012	Europe	High-income	Sweden	Both sexes	24	24.0			
Life expectancy at birth (years)	Published	1990	Americas	High-income	Trinidad and Tobago	Both sexes	68	68.0			
Life expectancy at age 60 (years)	Published	1990	Americas	High-income	Trinidad and Tobago	Both sexes	17	17.0			
Life expectancy at age 60 (years)	Published	2012	Americas	High-income	Trinidad and Tobago	Both sexes	18	18.0			
Life expectancy at age 60 (years)	Published	2000	Americas	High-income	United States of America	Female	23	23.0			
Life expectancy at age 60 (years)	Published	2012	Americas	High-income	United States of America	Female	24	24.0			
Life expectancy at age 60 (years)	Published	1990	Americas	High-income	United States of America	Both sexes	21	21.0			
Life expectancy at birth (years)	Published	1990	Eastern Mediterranean	Low-income	Afghanistan	Male	49	49.0			
Life expectancy at birth (years)	Published	2012	Eastern Mediterranean	Low-income	Afghanistan	Male	58	58.0			
Life expectancy at age 60 (years)	Published	2000	Eastern Mediterranean	Low-income	Afghanistan	Male	14	14.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Burundi	Male	14	14.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Burundi	Both sexes	15	15.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Benin	Female	56	56.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Benin	Female	60	60.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Benin	Female	15	15.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Benin	Both sexes	15	15.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Benin	Both sexes	15	15.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Burkina Faso	Female	15	15.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Burkina Faso	Female	15	15.0			
Life expectancy at birth (years)	Published	1990	South-East Asia	Low-income	Bangladesh	Female	59	59.0			
Life expectancy at age 60 (years)	Published	1990	South-East Asia	Low-income	Bangladesh	Male	17	17.0			
Life expectancy at age 60 (years)	Published	2012	South-East Asia	Low-income	Bangladesh	Male	18	18.0			
Life expectancy at age 60 (years)	Published	2012	South-East Asia	Low-income	Bangladesh	Both sexes	18	18.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Central African Republic	Both sexes	51	51.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Central African Republic	Male	14	14.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Democratic Republic of the Congo	Female	53	53.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Democratic Republic of the Congo	Female	16	16.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Democratic Republic of the Congo	Both sexes	15	15.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Comoros	Both sexes	56	56.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Comoros	Female	17	17.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Comoros	Both sexes	15	15.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Eritrea	Male	39	39.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Eritrea	Female	50	50.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Eritrea	Female	13	13.0			
Life expectancy at birth (years)	Published	2000	Africa	Low-income	Ethiopia	Male	50	50.0			
Life expectancy at age 60 (years)	Published	1990	Africa	Low-income	Ethiopia	Male	14	14.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Ethiopia	Male	17	17.0			
Life expectancy at age 60 (years)	Published	2000	Africa	Low-income	Ethiopia	Both sexes	16	16.0			
Life expectancy at age 60 (years)	Published	2012	Africa	Low-income	Ethiopia	Both sexes	18	18.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Ghana	Male	55	55.0			
Life expectancy at birth (years)	Published	1990	Africa	Low-income	Ghana	Both sexes	57	57.0			
Life expectancy at birth (years)	Published	2012	Africa	Low-income	Ghana	Both sexes	62	62.0			
